author,image,name,price
Heath Haskins,"https://images-na.ssl-images-amazon.com/images/I/81tu7qSRraL._AC_UL302_SR302,200_.jpg","The Advanced Roblox Coding Book: An Unofficial Guide, Updated Edition: Learn How to Script Games, Code Objects and Settings, and Create Your Own World! (Unofficial Roblox)",$10.63
Jamie Susskind,"https://images-na.ssl-images-amazon.com/images/I/71D5ywitNAL._AC_UL302_SR302,200_.jpg",The Digital Republic: On Freedom and Democracy in the 21st Century,$28.95
James D’Amato,"https://images-na.ssl-images-amazon.com/images/I/710rrOoopkL._AC_UL302_SR302,200_.jpg","The Ultimate RPG Character Backstory Guide: Expanded Genres Edition: Prompts and Activities to Create Compelling Characters for Horror, Sci-Fi, X-Punk, and More (The Ultimate RPG Guide Series)",$11.99
Square Enix,"https://images-na.ssl-images-amazon.com/images/I/51oKrXhE5mL._AC_UL302_SR302,200_.jpg",Encyclopaedia Eorzea ~The World of Final Fantasy XIV~ Volume I,$39.99
George Halperin,"https://images-na.ssl-images-amazon.com/images/I/71+byxsgqqL._AC_UL302_SR302,200_.jpg",iPhone Seniors Guide: The Most Intuitive and Exhaustive Manual to Master Your New iPhone from Scratch. A Detailed Step-by-Step Guide with Pictures and Useful Tips & Tricks,$14.97
Rocky Nook,"https://images-na.ssl-images-amazon.com/images/I/71BJPw6AgcL._AC_UL302_SR302,200_.jpg","Canon EOS R5: Pocket Guide: Buttons, Dials, Settings, Modes, and Shooting Tips (Pocket Guides)",$14.95
Charity Majors,"https://images-na.ssl-images-amazon.com/images/I/81Dz4K6S0QL._AC_UL302_SR302,200_.jpg",Observability Engineering: Achieving Production Excellence,$42.97
Walter Richter,"https://images-na.ssl-images-amazon.com/images/I/81ZnooY39xL._AC_UL302_SR302,200_.jpg","Amazon FBA 2022: Topics: E-Commerce Business, Private Label, Dropshipping, Personal Branding, Social Media Marketing 2022, Passive Income, Working from Home and Strategies to Earn $15,000/Month",$21.83
Titan Books,"https://images-na.ssl-images-amazon.com/images/I/A143omXjYvL._AC_UL302_SR302,200_.jpg",Scorn: The Art of the Game,$50.00
Matt Cybulsky,"https://images-na.ssl-images-amazon.com/images/I/61b6zzByPgL._AC_UL302_SR302,200_.jpg",Voices of Healthcare: The Digital Acceleration,$19.95
Stephen P. Borgatti,"https://images-na.ssl-images-amazon.com/images/I/51tjTrOgFEL._AC_UL302_SR302,200_.jpg",Analyzing Social Networks Using R,$38.01
Matt LeMay,"https://images-na.ssl-images-amazon.com/images/I/81xBCXjCXjL._AC_UL302_SR302,200_.jpg","Product Management in Practice: A Practical, Tactical Guide for Your First Day and Every Day After",$30.10
Josh Goldberg,"https://images-na.ssl-images-amazon.com/images/I/81n1+o12AHL._AC_UL302_SR302,200_.jpg",Learning TypeScript,$30.99
Travis Plunk,"https://images-na.ssl-images-amazon.com/images/I/713ae9BYdDL._AC_UL302_SR302,200_.jpg","Learn PowerShell in a Month of Lunches, Fourth Edition: Covers Windows, Linux, and macOS",$28.99
Nintendo,"https://images-na.ssl-images-amazon.com/images/I/816m2gk7jCL._AC_UL302_SR302,200_.jpg",Fire Emblem 16-Month September 2022–December 2023 Wall Calendar,$16.99
Natasha Yglesias,"https://images-na.ssl-images-amazon.com/images/I/71usMkWwT+L._AC_UL302_SR302,200_.jpg","Anime Tarot: Explore the Archetypes, Symbolism, and Magic in Anime",$22.49
Vitalik Bùterin,"https://images-na.ssl-images-amazon.com/images/I/817qQWLJO0L._AC_UL302_SR302,200_.jpg","NFTs & Cryptocurrency Investment Course: The Complete Cryptocurrency Course with Profitable Trading Strategies. Discover Why the Altcoins Are Revolutionizing NFTs, DeFi, Gaming & More",$25.99
Kami Jamus,"https://images-na.ssl-images-amazon.com/images/I/61hJ+ojUsZL._AC_UL302_SR302,200_.jpg",MINECRAFT: TOP 10 REDSTONE Handbook Pro Build (4) (HandBook REDSTONE),$4.60
Mike Chapple,"https://images-na.ssl-images-amazon.com/images/I/713S1RbqaHL._AC_UL302_SR302,200_.jpg",CISM Certified Information Security Manager Study Guide,$37.37
A. Colin Cameron,"https://images-na.ssl-images-amazon.com/images/I/71pwiwMazzL._AC_UL302_SR302,200_.jpg","Microeconometrics Using Stata, Second Edition, Volumes I and II",$135.00
Thomas Nield,"https://images-na.ssl-images-amazon.com/images/I/81RiDmmmEBL._AC_UL302_SR302,200_.jpg","Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",$53.99
Richard Reed,"https://images-na.ssl-images-amazon.com/images/I/61lGZC+vbXL._AC_UL302_SR302,200_.jpg","Seniors Guide to Chromebook: The Most Complete and Intuitive Step-By-Step Manual to Master Your New Chromebook, With Tips and Tricks for Senior Beginner Users (Updated & Illustrated Instructions)",$16.95
Naomie Yundt,"https://images-na.ssl-images-amazon.com/images/I/71nj1vgPAiL._AC_UL302_SR302,200_.jpg",Everything Is Oversized: The Unofficial Minecraft Comic - Vol. 01 (Minecraft Steve Book 1),$3.99
Dane Wade,"https://images-na.ssl-images-amazon.com/images/I/71pKxjQVi9L._AC_UL302_SR302,200_.jpg",Simple SQL: Beginner’s Guide To Master SQL And Boost Career (Zero To Hero),$4.99
David Hooper,"https://images-na.ssl-images-amazon.com/images/I/71bCTD5dLEL._AC_UL302_SR302,200_.jpg","101 Podcast Episode Templates – Powerful, Done-for-You Episode Templates to Grow Your Podcast Audience (Big Podcast)",$0.99
Dane Wade,"https://images-na.ssl-images-amazon.com/images/I/61us8Atc0gL._AC_UL302_SR302,200_.jpg",Simple SQL: Beginner’s Guide To Master SQL And Boost Career (Zero To Hero),$18.09
James Holler,"https://images-na.ssl-images-amazon.com/images/I/61JKFfg4SyL._AC_UL302_SR302,200_.jpg","Microsoft Outlook 2022: The Most Updated Crash Course from Beginner to Advanced | Learn All the Functions to Manage Email, Organize your Inbox, and Become a Pro in 7 Days or Less",$13.97
TB Choi,"https://images-na.ssl-images-amazon.com/images/I/91Ooq5xhM2L._AC_UL302_SR302,200_.jpg","Design Your Own Anime and Manga Characters: Step-by-Step Lessons for Creating and Drawing Unique Characters - Learn Anatomy, Poses, Expressions, Costumes, and More",$22.49
Kami Jamus,"https://images-na.ssl-images-amazon.com/images/I/61LiEJN1WZL._AC_UL302_SR302,200_.jpg",MINECRAFT: TOP 10 REDSTONE Handbook Pro Build (2) (HandBook REDSTONE),$4.60
Indi Young,"https://images-na.ssl-images-amazon.com/images/I/617dbrUJaRL._AC_UL302_SR302,200_.jpg",Time to Listen: How Giving People Space to Speak Drives Invention and Inclusion (Assumptions Aside),$32.00
Richard Astbury,"https://images-na.ssl-images-amazon.com/images/I/41UXVJqXcuL._AC_UL302_SR302,200_.jpg","Microsoft Orleans for Developers: Build Cloud-Native, High-Scale, Distributed Systems in .NET Using Orleans",$44.99
Zander Brumbaugh,"https://images-na.ssl-images-amazon.com/images/I/61T7jluLYsL._AC_UL302_SR302,200_.jpg","Coding Roblox Games Made Easy: The ultimate guide to creating games with Roblox Studio and Luau programming, 2nd Edition",$24.99
Victoria Rosenthal,"https://images-na.ssl-images-amazon.com/images/I/81nAxrPfeKL._AC_UL302_SR302,200_.jpg",Halo: The Official Cookbook (Gaming),$35.49
Koda Kazuma,"https://images-na.ssl-images-amazon.com/images/I/61MLXAk9muL._AC_UL302_SR302,200_.jpg",NieR Art - Koda Kazuma Works,$25.19
Elizabeth Clarke,"https://images-na.ssl-images-amazon.com/images/I/51mH3yKKJFL._AC_UL302_SR302,200_.jpg","Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics, Data Visualization, and Communicating Data)",$8.95
Kathy Sierra,"https://images-na.ssl-images-amazon.com/images/I/81wAshyxQyL._AC_UL302_SR302,200_.jpg",Head First Java,$43.19
Kami Jamus,"https://images-na.ssl-images-amazon.com/images/I/610elyvbPgL._AC_UL302_SR302,200_.jpg",MINECRAFT: TOP 10 REDSTONE Handbook Pro Build (1) (HandBook REDSTONE),$4.60
Joe Gray,"https://images-na.ssl-images-amazon.com/images/I/61gWMinZlvL._AC_UL302_SR302,200_.jpg",Practical Social Engineering: A Primer for the Ethical Hacker,$21.71
Mike Meyers,"https://images-na.ssl-images-amazon.com/images/I/81YQajC0zdL._AC_UL302_SR302,200_.jpg","CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)",$54.00
Juan HJ. Cardenas,"https://images-na.ssl-images-amazon.com/images/I/717Az-RNCpL._AC_UL302_SR302,200_.jpg",The Legẹnd of Zeldạ Coloring Book: Encourage Creativity with One Sided Breạth of The Wịld Coloring Pages for Kids & Adults,$3.95
Mark Reed,"https://images-na.ssl-images-amazon.com/images/I/71HKyalHY0L._AC_UL302_SR302,200_.jpg",Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises (Computer Programming),$8.99
Leslie Iwerks,"https://images-na.ssl-images-amazon.com/images/I/81Wq4YOh2HL._AC_UL302_SR302,200_.jpg",The Imagineering Story: The Official Biography of Walt Disney Imagineering,$35.00
